Type,Core research question,Primary stress test,What retrieval surfaced,What Qwen inferred,What was useful,What was overstated/flattened,Missingness,Research significance
Known relationship case 1,"What documentary traces connect Job 171, “Designer-computer interaction in the early stages of design”, to the people, activities and outputs associated with it?","Multi-document reconstruction; whether retrieval can assemble people, activity and outputs around a known archival anchor.","The V3.9 bundle returned one partial passage from Job 97 concerning design-development software facilities. It does not document Job 171, named people, or outputs.","The frozen V2 result reported that no direct documentary evidence connected Job 171 to people, activities, or outputs.","The negative result preserves the distinction between nearby computing material and documentary support for the requested project.","No positive connection should be drawn from the Job 97 passage; it is only adjacent subject matter.","The retrieved evidence does not establish the requested Job 171 relationship; this is retrieval insufficiency, not a corpus-absence claim.","Tests whether project-number authority context can be kept separate from documentary project evidence."
Known relationship case 2,"How is Bruce Archer’s role in teaching and learning practice with students represented across multiple DDR documents, and what aspects of that role are directly evidenced rather than inferred?","Retrieval versus inference; whether Granite distinguishes documented activity from its own synthesis.","Minutes place Bruce Archer in a discussion of teachers and curriculum; reports provide teaching, learning and assessment context. Direct evidence of Archer's individual work with students remains limited.","The frozen V2 result associated Archer with design-education discussion but treated the broader pedagogical role as cross-source inference.","The bundle separates a named Archer passage from departmental teaching context.","Departmental teaching evidence must not become direct evidence of Archer's personal student practice.","The retrieved passages establish relevant context but not sustained individual student interaction.","Makes the contextual-to-direct-evidence boundary inspectable."
Known relationship case 3,"What evidence connects Ken Baynes and Phil Roberts within the work of the Design Education Unit?","Relationship synthesis across dispersed records; whether a connection can be reconstructed without exaggerating its significance.","One partial Rector's report passage names the Design Education Unit with both requested people as facets, but the selected text does not itself establish a specific collaboration.","The frozen V2 result documented Baynes-related DEU material but did not establish a Phil Roberts relationship.","It retains a narrow unit-level lead without inventing collaboration.","Co-presence in a retrieval profile cannot be represented as a documented working relationship.","The retrieved evidence does not establish the nature of a Baynes-Roberts connection.","Tests restraint when source discovery is broader than relational proof."
Known relationship case 4,"How is John Wood’s role in console design and ergonomics documented across different DDR source types?","Cross-source retrieval; whether different document types contribute complementary rather than duplicated evidence.","A George Mallen interview directly states that John Wood worked on console design and communication/control consoles. A Rector's report and RCA calendar provide separate named context, not corroboration of that role.","The frozen V2 result identified the interview as the direct basis and noted the absence of cross-source confirmation.","The direct interview passage is preserved with its oral-history status visible.","The role should not be described as documented across source types when only one selected source directly attributes it.","The retrieval supports a single-source attribution, not a multi-source account of the role.","Tests source-type distinction and the evidential limit of oral testimony."
Contested interpretation case 1,"How was “design research” understood within the DDR, and to what extent do the surviving documents present a consistent conception of it?","False coherence; whether multiple formulations are preserved or collapsed into a single institutional definition.","The bundle includes methodological, interview, and project-report material using distinct design-research and scientific-framework language. It supports comparison, not one institutional definition.","The formal Qwen V2 run did not produce a valid final synthesis because Stage A failed schema validation.","The retrieval provides several formulations for researcher comparison.","No Qwen synthesis is available to treat as an interpretation; retrieval differences should not be collapsed into coherence.","The selected evidence does not establish a single consistent DDR conception.","Preserves plurality while recording a formal model-output failure."
Contested interpretation case 2,"How do different contributors describe the relationship between design, science and research?","Preservation of distinct voices and positions; resistance to synthesising disagreement into consensus.","George Mallen's scientific-framework text, Phil Roberts's curriculum notes, and a Frayling interview offer different methodological vocabularies. The bundle does not supply a direct contributor-by-contributor comparison.","The frozen V2 result treated the relationship as cross-source inference rather than direct contributor claims.","It surfaces distinct source voices and makes their provenance available for comparison.","The different vocabularies should not be converted into a settled shared position.","The retrieved passages do not establish a complete comparative account of contributor positions.","Tests whether interpretive comparison remains human-authored."
Contested interpretation case 3,"How do contemporary DDR documents and later retrospective accounts differ in their descriptions of the Design Education Unit?","Temporal and retrospective interpretation; whether later accounts are improperly allowed to stabilise contemporary ambiguity.","Contemporary DEU and Design Dimension documentation is retrieved alongside a George Mallen interview. The records can be compared, but their chronology and evidential status remain distinct.","The frozen V2 result similarly separated activity descriptions from retrospective management criticism.","The bundle supplies both documentary families without merging them.","Retrospective criticism cannot determine what contemporary records meant or establish causation by itself.","The selected evidence supports a limited comparison, not a complete institutional history.","Tests chronological discipline across archival hierarchy and oral history."
Contested interpretation case 4,"What competing interpretations of systematic design process can be identified in the corpus?","Contestation detection; whether the system identifies genuinely different positions rather than generating a unified doctrine.","A systematic-method reprint, a Job 170 design-analysis report, and a Finnish design-method text provide distinct process formulations. They are materials for comparison rather than a directly documented debate.","The frozen V2 result identified possible differences but did not claim a fully documented head-to-head controversy.","The retrieval provides contrasting methodological passages from separate sources.","Textual difference alone should not be described as institutional competition.","The bundle does not establish that the authors were responding to one another.","Tests the line between plurality of formulations and manufactured contestation."
Scoped missingness case 1,"Does the current digitised corpus establish why the decision to close the DDR was made?","Causal restraint; whether partial evidence is wrongly converted into a definitive explanation.","An Anthony Finkelstein interview offers a retrospective statement about contributors to DDR's demise; other selected material is generic causal or research context. No contemporary decision record is retained.","The frozen V2 result concluded that the available digitised evidence did not establish why the closure decision was made.","The retrospective account is useful as an explicitly limited interpretive lead.","It must not become the definitive cause, and generic causal vocabulary is not closure evidence.","The retrieved evidence does not establish the decision rationale or its contemporary institutional basis.","Tests whether retrospective explanation is kept separate from decision evidence."
Scoped missingness case 2,"Can the current digitised corpus establish who initiated computing activity within the DDR?","Origin claims; whether the earliest retrieved trace is mistakenly turned into evidence of historical initiation.","Job 97 and Job 170 reports plus DEU computer discussion material establish computing-related activity. None identifies an initiator of DDR computing activity.","The frozen V2 result likewise did not identify an initiator.","The bundle distinguishes documented technical activity from an unsupported origin claim.","Computing projects or reports must not be treated as proof of who initiated the activity.","The retrieved evidence does not establish initiation or leadership.","Tests false-origin and false-missingness restraint."
