Question,Type,Core research question,Primary stress test,What retrieval surfaced,What Qwen inferred,What was useful,What was overstated/flattened,Missingness,Research significance,Notes
1,Known relationship case 1,"What documentary traces connect Job 171, ""Designer-computer interaction in the early stages of design”, to the people, activities and outputs associated with it?","Multi-document reconstruction; whether retrieval can assemble people, activity and outputs around a known archival anchor.","Five documentary passages were retained. Four Job 171 sources established a bounded cluster around CEDAR-2, computer-aided design and interface-design activity. The evidence directly documented designer input at the Sketch plan II stage, manual/semi-automatic structural-steel-frame design, and interface work involving hardware, selection/training, job aids, procedures and job specification. CEDAR Mark 2 was directly documented as a prototype computer-aided building-design system. One Job 97 passage provided contextual graphical-interaction material. No individual person was directly named in the retained Job 171 passages.",Qwen treated CEDAR-2 as direct support and used the remaining sources to infer a broader ergonomic/interface-design context around Job 171. It did not identify contested evidence.,"The one-shot synthesis helped relate several dispersed passages into a broader interface/computer-interaction context and retained important limits around people, results and reception.","Qwen broadened contextual material into a more general connection between Job 171, people, activities and outputs than the passages directly warranted. Some contextual statements were presented as cross-source inference, and several generated claims were uncited even though the underlying source provenance was sound.","Specific individuals and role relationships remain unestablished. The evidence also does not establish completed project results, evaluation, user reception or impact. These are documentary insufficiencies, not archival absence, corpus gaps or retrieval failures.","Q01 shows that archive-first retrieval can reconstruct a coherent but bounded multi-document picture around a known archival anchor while still preserving evidential limits. It also shows that adequate documentary retrieval does not guarantee equally disciplined generative synthesis: Qwen can add useful cross-source framing, but may strengthen contextual association beyond what the documents directly establish.",Clean capture: researcher-ui-capture-8ff3bed89a6f. Exact registered question persisted correctly; one Qwen call; all five sources classified; source provenance complete; claim-level provenance partial because some model claims were uncited.
2,Known relationship case 2,"How is Bruce Archer’s role in teaching and learning practice with students represented across multiple DDR documents, and what aspects of that role are directly evidenced rather than inferred?",Retrieval versus inference; whether Qwen distinguishes documented activity from its own synthesis.,"The corrected archive-first nomination surfaced the relevant Bruce Archer teaching-and-learning source family. Retained evidence included 062054716175 (Professor Archer course, spring term), 852120727979 (tutorial-day allocation and proposed Archer lectures/tutorials), and 595499003453 (Introductory Lecture Course … Professor Bruce Archer). 723660822664 was also nominated and supported introductory-week/final-assessment activity with Archer, although it was not retained in the final five-source capture. The retained passages directly evidence course, lecture and tutorial activity associated with Archer.","Qwen inferred that the documents collectively demonstrate a sustained, formal teaching-and-learning role with students and a structured institutional education role.","The synthesis connected several dispersed teaching traces and preserved important limits around pedagogy, student experience, effectiveness and outcomes. It therefore made the documentary constellation more legible across multiple sources.","Qwen strengthened document-specific evidence of courses, lectures and tutorial allocation into a broader claim of a sustained formal student-facing role. That larger role is plausible but is not itself directly stated across the retained passages. Several model claims were also uncited, despite valid underlying source material.","The evidence does not establish Archer’s complete pedagogy, teaching method, supervision practices, students’ experience, teaching effectiveness, educational outcomes or a complete reconstruction of his teaching role. These are bounded documentary insufficiencies, not archival absence, corpus gaps or retrieval failures.","Q02 demonstrates why correct archival source nomination is essential to a fair generative test. Once the teaching-family evidence was correctly retrieved, direct teaching activity became visible; Qwen could synthesize those traces, but also showed the precise failure mode under test by extending documented activity into a broader role claim. The case therefore sharply distinguishes retrieval evidence from generative inference.","Canonical capture: researcher-ui-capture-8b7eb67c15f6. Exact question and successor corpus correct; one Qwen call; all retained sources classified DIRECT_SUPPORT. Source provenance was incomplete for S1–S2 in the capture projection, and claim provenance was partial: 5 passes, 7 genuine uncited claims, 2 format violations, 0 invalid source IDs."
3,Known relationship case 3,What evidence connects Ken Baynes and Phil Roberts within the work of the Design Education Unit?,Relationship synthesis across dispersed records; whether a connection can be reconstructed without exaggerating its significance.,"Five DEU-related records were retained across Baynes and Roberts material: a Baynes appointment letter, Baynes DEU/DCH memorandum, Roberts discussion notes, Roberts paper and a Baynes curriculum paper. Baynes and Roberts were each independently situated within Design Education Unit material, but no selected passage directly co-named them or described a relationship between them.","Qwen reconstructed a bounded shared-DEU association while explicitly stating that direct collaboration, interaction and the nature or extent of their relationship were not established. It largely enumerated the retrieved evidence rather than adding a stronger interpretive synthesis.","Qwen correctly preserved the key evidential boundary: separate association with the same unit was not converted into collaboration, partnership, joint leadership or co-authorship. Its source-linked statements about Baynes and Roberts remained appropriately cautious.",The main overstatement lies more in evidence classification than synthesis: several sources were labelled DIRECT_SUPPORT even where the selected passage chiefly established DEU context or a person-specific institutional association rather than a direct Baynes–Roberts connection. Roberts’ “related initiatives and projects” was also a mild expansion beyond the selected text.,"No selected passage directly co-names Baynes and Roberts or establishes an interpersonal relationship, collaboration, division of responsibility, joint authorship, joint leadership or the causal significance of their shared DEU association. These are documentary insufficiencies, not archive or retrieval failures.",Q03 demonstrates that archive-first nomination can assemble a relevant dispersed documentary constellation while the documentary passages themselves constrain how far the relationship can legitimately be reconstructed. In this case Qwen performed the stress test relatively well by preserving the distinction between shared institutional association and direct collaboration.,"Capture researcher-ui-capture-c04585c87f41. Exact question and successor corpus correct; one Qwen call; source provenance passed; claim provenance partial. Qwen emitted a registered-question prompt echo, retained as two FORMAT_VIOLATION claims."
4,Known relationship case 4,How is John Wood’s role in console design and ergonomics documented across different DDR source types?,Cross-source retrieval; whether different document types contribute complementary rather than duplicated evidence.,"Five sources were retained across several document forms: an RCA calendar listing John Wood, ergonomic-course correspondence written from John Wood, an IDAC committee paper, a Design Dimension paper and a curriculum position paper. The strongest directly relevant passage was the ergonomic-course correspondence; no selected passage directly documented console-design activity.",Qwen produced no meaningful cross-source synthesis and concluded that the retained evidence did not establish a John Wood console-design or ergonomics role.,"It avoided inventing a console-design role, leadership, continuity or project-wide responsibility where the selected passages did not support those claims.","It under-read the strongest relevant passage: S2 explicitly concerns an ergonomic course and refers to John Wood, yet remained classified NO_RELEVANT_PASSAGE. The answer therefore flattened a partially positive ergonomics trace into an almost wholly negative result. It also did not exploit the different source forms as complementary evidence.","Wood’s precise role, direct console-design activity, continuity across projects, leadership/responsibility, the relationship between console design and ergonomics, and project-wide significance remain unestablished in this capture. No retrospective source was retained, so cross-source/source-type complementarity was not adequately tested.","Q04 shows that archive-first nomination can retrieve topically relevant material while still failing at passage-level evidential classification. The case is useful because Qwen exercised restraint, but the experiment also exposes that conservative synthesis cannot compensate for a misclassified directly relevant passage.",Source provenance passed; claim provenance was partial. S2’s NO_RELEVANT_PASSAGE classification is the key defect. The capture is not suitable as the canonical Q04 screenshot until that existing-source classification/presentation issue is corrected without rerunning Qwen.
5,Contested interpretation case 1,"How was “design research” understood within the DDR, and to what extent do the surviving documents present a consistent conception of it?",False coherence; whether multiple formulations are preserved or collapsed into a single institutional definition.,"Five passages were retained: four closely related Job 171 CABD/interface-design reports from 1976–77 and one 1985 Inter-university Institute of Design Research document. Across them, the evidence surfaced several formulations relevant to design research: emerging theoretical foundations, integrated design–build–evaluate processes, information processing, ergonomics/human factors, adaptive teaching/support systems, and an explicit educational framing of Design Research methods.","Qwen preserved several possible understandings of design research rather than collapsing them into one DDR-wide doctrine. It characterised the evidence as spanning theoretical, systems/technology, human-factors and educational-methods formulations, and concluded that the selected material did not establish a clear, consistent or unified conception.",Qwen performed the central false-coherence stress test relatively well: it preserved plurality and explicitly resisted presenting recurring terminology as evidence of a single institutional definition. It also stated the limits of the documentary set rather than manufacturing consensus.,"The evidential classifications were less reliable than the synthesis: S1 and S2 were discussed as if they directly supported the interpretation despite being persisted as NO_RELEVANT_PASSAGE, while S3 remained UNCLASSIFIED. The evidence set was also dominated by closely related Job 171 material, limiting the breadth of contributor/source perspectives. Dates alone cannot support a contemporary-versus-retrospective distinction.","The capture does not establish a formally agreed DDR definition of design research, contributor-wide agreement, whether the differences amount to genuine disagreement, or whether the surviving digitised corpus is sufficiently complete for an institution-wide conclusion. No retrospective account was retained, and source-type/temporal-class metadata was not available in the capture.","Q05 shows that generative synthesis need not inevitably manufacture false coherence: given several formulations, Qwen preserved a plural and qualified account. At the same time, the case demonstrates that a cautious synthesis can still sit on top of an unevenly classified and relatively narrow documentary constellation, so interpretive restraint does not remove the need to audit the evidence set itself.","Capture researcher-ui-capture-d368b46f881b. Exact question and successor corpus correct; one Qwen call; source provenance passed; claim provenance partial. S1/S2 classification mismatch, S3 UNCLASSIFIED, two FORMAT_VIOLATION prompt-echo records, and no retained source-type/temporal-class fields mean this capture should not yet be used as the canonical Q05 screenshot."
6,Contested interpretation case 2,"How do different contributors describe the relationship between design, science and research?",Preservation of distinct voices and positions; resistance to synthesising disagreement into consensus.,"Five passages were retained: four Job 171 records from 1976–77 and one 1985 Inter-university Institute document. The evidence surfaced several distinct formulations of the relationship between design, science and research: design research using scientific tools to explain designing; interdisciplinary work drawing on cognitive psychology, linguistics, computing and systems science; empirical investigation of interface complexity and user characteristics; and a qualification that systems design/task analysis remained “an art rather than a science.”","Qwen preserved these as distinct scientific, interdisciplinary, empirical and qualified art-versus-science formulations. It did not force them into a single DDR-wide doctrine and did not manufacture consensus.","It performed the core stress test relatively well by retaining plurality and methodological tension, especially the contrast between scientific enquiry and the “art rather than science” qualification. It also preserved the evidential boundary rather than claiming a unified institutional position.","The capture could not truly preserve contributor-specific voices because governed author/contributor fields were not retained. Qwen therefore preserved distinct positions more than distinct identifiable contributors. Several sources were also persisted as NO_RELEVANT_PASSAGE, despite being used in the synthesis, and four of the five sources came from the same Job 171 source family.","The evidence does not establish whether named contributors genuinely disagreed, whether one influenced another, whether shared disciplinary references reflect shared epistemic commitments, whether a DDR-wide institutional position existed, whether all relevant voices are represented, or whether the later material reliably reflects contemporary positions.","Q06 shows that Qwen can resist consensus-flattening when given genuinely varied documentary formulations, but also exposes a limitation in the evidence model: preserving “distinct voices” requires contributor identity to remain structurally attached to the passages. The model preserved conceptual plurality, but the capture cannot fully test contributor-specific disagreement without governed authorship metadata.",Capture researcher-ui-capture-7b8fadf9d003. Exact question and successor corpus correct; one Qwen call; source provenance passed; claim provenance partial. No governed contributor fields were retained; four sources came from Job 171; prompt echo remained audit-visible as FORMAT_VIOLATION.
7,Contested interpretation case 3,How do contemporary DDR documents and later retrospective accounts differ in their descriptions of the Design Education Unit?,Temporal and retrospective interpretation; whether later accounts are improperly allowed to stabilise contemporary ambiguity.,"Five sources spanning two periods were retained: contemporary DEU material from 1978 and 1984, plus 2013 interview material with George Mallen and Christopher Frayling. The contemporary material explicitly names the Design Education Unit within the RCA and records discussion-paper activity around computers in art and design. The later material provides retrospective associations with DDR/DEU, Archer, systematic design and computational design.",Qwen kept the later Mallen account tentative and did not use it to settle the meaning of the contemporary DEU documents. It did not manufacture a unified temporal narrative or allow the retrospective material to stabilise the earlier evidence.,It performed the central temporal stress test reasonably well by preserving uncertainty in the later account and maintaining a distinction between what contemporary documents directly establish and what later interview material suggests.,"The capture still did not produce a full contemporary-versus-retrospective synthesis. The Frayling material was effectively metadata/context rather than a substantive retrospective position, and Mallen’s account was not always explicitly labelled as retrospective interpretation. The evidential set therefore supports temporal separation more strongly than it supports a rich comparison between the two periods.","The capture does not establish whether later recollections accurately represent contemporary DEU practice, whether ambiguity in the contemporary record reflected institutional uncertainty, whether retrospective criticism or interpretation was shared at the time, or whether the digitised archive represents all relevant voices. Structured temporal classes were not retained.","Q07 shows that later accounts need not automatically overwrite or stabilise contemporary ambiguity. In this capture Qwen exercised useful temporal restraint, but the experiment also shows that a meaningful retrospective comparison depends on retaining sufficiently rich later testimony and explicit temporal metadata, not merely sources from different dates.","Capture researcher-ui-capture-db54e42c7054. Exact question and successor corpus correct; one Qwen call; source provenance passed; claim provenance partial. S1/S4 were DIRECT_SUPPORT, S2 NO_RELEVANT_PASSAGE, S3 CONTEXTUAL. No governed temporal class was retained and prompt echo remained audit-visible as FORMAT_VIOLATION."
8,Contested interpretation case 4,What competing interpretations of systematic design process can be identified in the corpus?,Contestation detection; whether the system identifies genuinely different positions rather than generating a unified doctrine.,"Four relevant methodological traces plus one irrelevant committee paper were retained. S1 critiques school design-process replication as a watered-down transfer of professional/systematic methods. S3 explicitly presents “design research” as ambiguous. S4 frames design activity as action under incompletely perceived goals. S5 describes iterative modelling, measurement, provisional propositions and emerging requirements.","Qwen preserved the S1 critique and S3 ambiguity, but did not substantially integrate S4 and S5 into its account of competing interpretations. It therefore avoided false unity, but only partially represented the methodological plurality available in the evidence set.",It successfully resisted inventing a single DDR systematic-design doctrine and retained two important qualifications: critique of over-systematisation and ambiguity around design research.,"Qwen underused the evidence by failing to develop S4 and S5’s distinct methodological positions. S1 was also treated as if it were direct support despite being persisted as CONTEXTUAL, while S4 and S5 remained UNCLASSIFIED. The result therefore preserved plurality only partially.","The capture does not establish direct disagreement between contributors, explicit opposition, a single DDR doctrine, change in methodological positions over time, full coverage of relevant positions, or the influence of later interpretations. The relationship of S4 and S5 to systematic design remains under-analysed in the generated answer.","Q08 shows that the absence of false unity is not the same as successful contestation analysis. Qwen avoided collapsing the evidence into one doctrine, but it also failed to exploit all of the methodological diversity already present in the retained passages. This distinguishes interpretive restraint from interpretive completeness.","Capture researcher-ui-capture-b10da66c8a6d. Exact question and successor corpus correct; one Qwen call; source provenance passed; claim provenance partial. S1 classification mismatch, S4/S5 UNCLASSIFIED, S2 NO_RELEVANT_PASSAGE."
9,Scoped missingness case 1,Does the current digitised corpus establish why the decision to close the DDR was made?,Causal restraint; whether partial evidence is wrongly converted into a definitive explanation.,"Five generic DDR-related passages were retained, but all were classified NO_RELEVANT_PASSAGE. Critically, the known Senate closure resolution was not retrieved, so the capture contained neither direct evidence of the closure decision nor evidence of its cause.",Qwen concluded that the current digitised corpus does not establish why the DDR was closed and did not invent a speculative causal explanation.,It showed useful causal restraint by refusing to manufacture a reason from irrelevant material.,"It over-generalised from a failed evidence set to a corpus-wide conclusion. Because the known closure-decision anchor was not retrieved, the statement that the corpus does not establish the reason is not properly supported by this capture. The model also failed to distinguish absence of retrieved closure evidence from absence of causal evidence.","The correct missingness layer is RETRIEVAL_FAILURE, not archival absence or documentary insufficiency. This capture does not establish either the closure decision or its rationale because the known institutional closure source was omitted from the retained set.",Q09 is an important negative control: causal restraint alone is not enough. A model can avoid hallucinating a cause and still produce a misleading corpus-level negative if retrieval fails to surface known institutional evidence. The case sharply separates retrieval failure from genuine documentary missingness.,Capture researcher-ui-capture-446523e88c4d. Exact question and successor corpus correct; one Qwen call; source provenance passed; claim provenance partial. All five sources were NO_RELEVANT_PASSAGE; the known Senate closure resolution was not retained.
10,Scoped missingness case 2,Can the current digitised corpus establish who initiated computing activity within the DDR?,Origin claims; whether the earliest retrieved trace is mistakenly turned into evidence of historical initiation.,"Five sources were retained: 1972 and 1973 Job 170 reports, a 1975 DDR curriculum, a circa-1984 staff CV and a 2018 Brian Reffin Smith interview. The earliest retained source was from 1972, but the earliest retained passage that explicitly established computing activity was the 1975 Richard Langdon curriculum, which records programming and computing-systems teaching.","Qwen identified computing as part of DDR activity but explicitly declined to identify an initiator. It did not convert the earliest retained trace, Richard Langdon’s named participation, or the later Brian Reffin Smith interview into a founder/origin claim.","It performed the primary origin-claim stress test well by preserving the distinction between early activity and historical initiation. The negative boundary was appropriate: evidence of computing activity was present, but no passage directly established who began it.","The 2018 closure interview was tangential to the origin question and added little to the core evidential chain. Several retained sources remained UNCLASSIFIED, so the evidence presentation was weaker than the synthesis.","The correct missingness layer is DOCUMENTARY_INSUFFICIENCY: computing activity is directly evidenced, but no retained passage uses initiation language or identifies a person or group as the initiator. Historical priority therefore remains unestablished.","Q10 demonstrates that an early documentary trace need not be transformed into an origin myth. Qwen showed useful chronological restraint and resisted assigning priority to the earliest visible person or record, which is precisely the distinction this missingness test was designed to probe.","Capture researcher-ui-capture-2e7da044afcc. Exact question and successor corpus correct; one Qwen call; source provenance passed; claim provenance partial. S2, S3 and S5 remained UNCLASSIFIED; the 2018 interview was contextual/tangential rather than origin evidence."
