uat_id,page,area,function,test_action,expected_result,status,actual_result,severity,notes
UAT-001,Global,Authentication,Protected application access,"Open a protected route while signed out","Authentication is requested and protected research content is not shown.",,,,
UAT-002,Global,Authentication,Logout,"Use the header Logout control","The session ends and the application returns to its signed-out entry state.",,,,
UAT-003,Global,Header,Theme switch,"Use the header theme control twice","The theme changes each time and the current page remains usable.",,,,
UAT-004,Global,Header,Primary navigation,"Open Workbench Sources Analysis Evidence and Documentation","Each item opens its intended section and the active indicator follows it.",,,,
UAT-005,Global,Header,Brand link,"Select the Graham Newman RCA PhD header name","Workbench opens without a full-page error.",,,,
UAT-006,Global,Responsive shell,Mobile navigation,"At narrow width open and close navigation then select a destination","Menu opens closes and navigates without horizontal overflow.",,,,
UAT-007,Global,Secondary navigation,Sidebar links,"Open each visible secondary link in a section","Each link opens its named page and is visibly active.",,,,
UAT-008,Global,Secondary navigation,Sidebar collapse,"Use desktop sidebar collapse and expand","Sidebar changes width while content remains usable.",,,,
UAT-009,Global,Routing,Browser Back and Forward,"Navigate between pages then use browser Back and Forward","The expected prior and next routes render correctly.",,,,
UAT-010,Global,Routing,Direct URL access,"Open a bookmarked protected route after signing in","The requested page renders rather than a blank page or route error.",,,,
UAT-011,Global,Routing,Page refresh,"Refresh a representative route with query parameters","The page reloads successfully and intended URL context is retained.",,,,
UAT-012,Global,Loading,Lazy route loading,"Navigate to an unvisited route","A loading state resolves to the requested page.",,,,
UAT-013,Global,Error handling,API error feedback,"Observe any safely reproducible production API error state","An understandable inline error appears and the shell remains usable.",,,,
UAT-014,Global,Responsive layout,Desktop layout,"Review representative pages at normal desktop width","Navigation controls tables and content remain visible without unintended horizontal overflow.",,,,
UAT-015,Workbench /workbench,Landing,Instrument title,"Open Workbench","Title reads RCA Department of Design Research archive critical inquiry instrument.",,,,
UAT-016,Workbench /workbench,Research apparatus status,Granite runtime output,"Inspect Granite status","Model device and active-runtime-token values or explicit unavailable states are visible.",,,,
UAT-017,Workbench /workbench,Corpus status,Frozen corpus identity,"Inspect corpus status","Frozen corpus version and searchable-evidence count are shown or explicitly unavailable.",,,,
UAT-018,Workbench /workbench,Corpus status,Archive resolution output,"Inspect archive-resolved and unresolved-record metrics","The two distinct counts are visible and not conflated.",,,,
UAT-019,Workbench /workbench,Corpus status,Embedding and PDF coverage,"Inspect embedding and archive-linked PDF metrics","The visible values identify separate corpus coverage measures.",,,,
UAT-020,Workbench /workbench,Archive inventory,ML eligibility output,"Inspect archive inventory","ML-eligible and ML-excluded asset counts are distinct.",,,,
UAT-021,Workbench /workbench,Archive inventory,Authority register output,"Inspect archive authorities metric","Authority record and type counts are visible or explicitly unavailable.",,,,
UAT-022,Workbench /workbench,Analytical surface,Dashboard charts,"Inspect analytical-surface panels","Charts or their explicit no-data/error states render without overlap.",,,,
UAT-023,Sources /sources,Search and filter,Keyword or document ID,"Enter a title fragment document ID or PID","The document list filters to matching title ID or PID values.",,,,
UAT-024,Sources /sources,Search and filter,Publication year,"Enter a publication year","Documents reload or update for that year filter.",,,,
UAT-025,Sources /sources,Search and filter,Processing status,"Select Pending Completed and Failed","The source list changes to the selected processing state.",,,,
UAT-026,Sources /sources,Search and filter,Reset filters,"Set filters then select Reset filters","All filters clear and the unfiltered list returns.",,,,
UAT-027,Sources /sources,Search and filter,Autocomplete cues,"Type at least two characters and choose a visible cue","The cue populates search and the list reflects it.",,,,
UAT-028,Sources /sources,Source list,Loading and empty states,"Open Sources then use a no-match keyword","Loading resolves; a clear no-results state appears without breaking the page.",,,,
UAT-029,Sources /sources,Source list,Document selection,"Select a document row","That document becomes selected and its detail panel loads.",,,,
UAT-030,Sources /sources,Source detail,Identity and processing output,"Inspect a selected source Overview","Title PID publication year and processing status are visible or explicitly unavailable.",,,,
UAT-031,Sources /sources,Source detail,ML eligibility and page scope,"Inspect Corpus control","ML eligibility and ML page scope are displayed separately.",,,,
UAT-032,Sources /sources,Source detail,Rights/access metadata,"Inspect Rights and access","Fields render or the explicit no-metadata state appears.",,,,
UAT-033,Sources /sources,Source detail,Retrieval/provenance metadata,"Inspect Retrieval and provenance","Available provenance fields render without being presented as source-text evidence.",,,,
UAT-034,Sources /sources,Source detail,Archive metadata tab,"Open Archive metadata","Catalogue fields and controlled terms render or explicit no-metadata state appears.",,,,
UAT-035,Sources /sources,Source detail,Provenance tab,"Open Provenance","Sync source status asset state and persistence/handoff metadata render.",,,,
UAT-036,Sources /sources,Source detail,Metadata refresh,"Use Refresh archive metadata","Current updated changed-asset or error result is displayed and the source remains viewable.",,,,
UAT-037,Sources /sources,Source detail,Similar documents,"Inspect Similar documents","Similar records or the explicit no-similar-documents state is shown.",,,,
UAT-038,Sources /sources,Source actions,Interrogate this source,"Select Interrogate this source","Source interrogation opens; record whether source context is carried into the query.",,,,
UAT-039,Sources /sources,Source actions,Inspect absences,"Select Inspect absences","Absences opens without a route failure.",,,,
UAT-040,Sources /sources,Source actions,Locate in atlas,"Select Locate in atlas","Semantic atlas opens without a route failure.",,,,
UAT-041,Sources /sources,Source actions,Copy citation,"Select Copy citation and paste into a text field","Pasted citation identifies the selected source.",,,,
UAT-042,Sources /sources,Source actions,Open DDR source,"For an enabled record select Open DDR source","Configured archive source opens in a new tab; unavailable records keep control disabled.",,,,
UAT-043,Source interrogation /source-interrogation,Query form,Research query input,"Enter a research question","Text remains visible and Run interrogation enables for a non-empty query.",,,,
UAT-044,Source interrogation /source-interrogation,Query form,Mode selector,"Open Mode / model selector","Granite retrieval stable is available and Agent trace unavailable is disabled.",,,,
UAT-045,Source interrogation /source-interrogation,Query form,Run interrogation loading,"Submit a non-destructive research query","Tracing retrieval provenance and evidence chain appears while running.",,,,
UAT-046,Source interrogation /source-interrogation,Answer,Immutable run identity,"Complete a query","An experiment/run ID and answer state are displayed.",,,,
UAT-047,Source interrogation /source-interrogation,Answer,Generated response,"Complete a query with an answer","Response is visible and presented as provisional pending source checking.",,,,
UAT-048,Source interrogation /source-interrogation,Answer,Authority context separation,"Run a query known to return authority context","Database authority context is visibly separate from documentary evidence.",,,,
UAT-049,Source interrogation /source-interrogation,Answer,Documentary evidence separation,"Run a query with documentary evidence","Claims identify PID/page where supplied and remain separate from generated inference.",,,,
UAT-050,Source interrogation /source-interrogation,Answer,Generated inference separation,"Inspect Generated inference","Inferences are visible separately or explicit no-inference message is shown.",,,,
UAT-051,Source interrogation /source-interrogation,Answer,Scoped missingness,"Run a query with a known evidence gap","Scoped missingness is explicit and does not claim archive-wide absence.",,,,
UAT-052,Source interrogation /source-interrogation,Answer,Provenance validation,"Inspect Provenance validation","Citation validity run status and interpretative status are visible.",,,,
UAT-053,Source interrogation /source-interrogation,Answer,Overall claim status,"Change Overall claim status","Selected status visibly changes for the current view.",,,,
