Type,Core research question,Primary stress test,What retrieval surfaced,What Granite inferred,What was useful,What was overstated/flattened,Missingness,Research significance
Known relationship case 1,"What documentary traces connect Job 171, “Designer-computer interaction in the early stages of design”, to the people, activities and outputs associated with it?","Multi-document reconstruction; whether retrieval can assemble people, activity and outputs around a known archival anchor.",,,,,,
Known relationship case 2,"How is Bruce Archer’s role in teaching and learning practice with students represented across multiple DDR documents, and what aspects of that role are directly evidenced rather than inferred?",Retrieval versus inference; whether Granite distinguishes documented activity from its own synthesis.,,,,,,
Known relationship case 3,What evidence connects Ken Baynes and Phil Roberts within the work of the Design Education Unit?,Relationship synthesis across dispersed records; whether a connection can be reconstructed without exaggerating its significance.,,,,,,
Known relationship case 4,How is John Wood’s role in console design and ergonomics documented across different DDR source types?,Cross-source retrieval; whether different document types contribute complementary rather than duplicated evidence.,,,,,,
Contested interpretation case 1,"How was “design research” understood within the DDR, and to what extent do the surviving documents present a consistent conception of it?",False coherence; whether multiple formulations are preserved or collapsed into a single institutional definition.,,,,,,
Contested interpretation case 2,"How do different contributors describe the relationship between design, science and research?",Preservation of distinct voices and positions; resistance to synthesising disagreement into consensus.,,,,,,
Contested interpretation case 3,How do contemporary DDR documents and later retrospective accounts differ in their descriptions of the Design Education Unit?,Temporal and retrospective interpretation; whether later accounts are improperly allowed to stabilise contemporary ambiguity.,,,,,,
Contested interpretation case 4,What competing interpretations of systematic design process can be identified in the corpus?,Contestation detection; whether the system identifies genuinely different positions rather than generating a unified doctrine.,,,,,,
Scoped missingness case 1,Does the current digitised corpus establish why the decision to close the DDR was made?,Causal restraint; whether partial evidence is wrongly converted into a definitive explanation.,,,,,,
Scoped missingness case 2,Can the current digitised corpus establish who initiated computing activity within the DDR?,Origin claims; whether the earliest retrieved trace is mistakenly turned into evidence of historical initiation.,,,,,,
Scoped missingness case 3,Can the surviving digitised records establish how Design in General Education was received by its intended users?,Evidence-boundary recognition; distinguishing documented intentions and activities from evidence of actual reception.,,,,,,
Scoped missingness case 4,What can the current digitised corpus establish about Henrietta Ryott’s role in the DDR between 1973 and 1977?,Uneven personal visibility; whether sparse or indirect documentary evidence produces appropriately bounded conclusions.,,,,,,
