Question,Type,Core research question,Primary stress test,What retrieval surfaced,What Qwen inferred,What was useful,What was overstated/flattened,Missingness,Research significance,Notes
1,Known relationship case 1,"What documentary traces connect Job 171, ""Designer-computer interaction in the early stages of design"", to the people, activities and outputs associated with it?","Project identity across archive metadata and direct documentary content; whether the pipeline keeps the project lead distinct from documentary activity and output claims.","Live archive-first retrieval selected five Docling passages from the April 1977 Job 171 records 171/06 and 171/07. They directly describe interface-design activities including hardware design, selection and training, job-aid design, procedure specification and job specification; human-factors considerations for computer users; man-computer dialogue criteria; and CEDAR Mark 2, a prototype computer-aided building-design system developed by the Department of the Environment in conjunction with the Royal College of Art. The Job 171 authority identifies the project title, Science Research Council funding and Pierre Goumain as project lead.","Qwen's final synthesis retained the direct Job 171 record excerpts and identified the interface-design and CEDAR Mark 2 material. It treated Pierre Goumain as authority context rather than direct documentary evidence, made no cross-source inference, and stated that no direct claim about a specific individual's activity beyond the selected descriptions was established.","The project-record extension to the deterministic compiler now preserves exact documentary passages where a question supplies an explicit Job number, even though no named individual appears in the passage. All five final documentary claims passed chunk and quotation provenance validation. This makes the archive-record identity, documentary content and authority context inspectable as separate layers.","The final wording still uses the broad phrase that the documents connect Job 171 to people, activities and outputs. The connection to the project is archival record identity; the passages do not establish Pierre Goumain's involvement in a particular activity or output, nor that CEDAR Mark 2 was itself a Job 171 output.","The selected documents directly establish the stated interface-design concerns, dialogue criteria and the CEDAR Mark 2 description within records identified as Job 171. They do not establish authorship, responsibility or participation by Pierre Goumain or another specific person; a complete people/activity/output reconstruction; or that CEDAR Mark 2 was commissioned, produced or delivered by Job 171. The 1977 material predates the June 1985 DDR closure boundary.","Q01 demonstrates project-level evidence control: an authority record can identify a project and lead, archive metadata can associate selected records with that project, and exact Docling passages can establish their own technical content without collapsing those layers into a claim of individual responsibility or project output.","Live production verification on 2026-09-07 after commits b29c25b and 3e0cffe. Selected records: Job 171/06 and 171/07; final direct-claim provenance passed for five citations. Project authority is supplied to Qwen as administrative context only; the June 1985 closure guard is active."
2,Known relationship case 2,"How is Bruce Archer's role in teaching and learning practice with students represented across multiple DDR documents, and what aspects of that role are directly evidenced rather than inferred?","Retrieval versus inference; whether the deterministic evidence compiler distinguishes quoted documentary activity from Qwen's synthesis.","The live archive-first retrieval surfaced the Frank Height memo to Bruce Archer (asset PID 852120727979, page 2), Professor Archer course material, and an Archer lecture. The memo directly records an alternative arrangement involving Department of Design Research courses, 'your own lectures and tutorials,' and a computer course. Current DDR GraphQL enrichment supplies the V&A East Storehouse repository, AU.AAD.20747 accession, location note, copyright, image rights and data rights for the source card.","Qwen identified the 16 April 1975 Height memo as direct evidence that Archer provided lectures and tutorials. It treated a broader teaching-and-learning role with students across the source set as an interpretation rather than claiming that the complete role was directly established.","The staged pipeline now preserves the exact page-2 documentary excerpt before synthesis, so direct evidence cannot disappear when Qwen omits a Stage A claim. The response also distinguishes the specific direct teaching trace from the broader cross-document interpretation and exposes the authoritative source metadata required for inspection.","The response still compresses the course and lecture records into a broad statement that no further direct evidence is provided. Those records require document-by-document reading before they can support a fuller account of Archer's teaching role or student-facing practice.","The retained evidence directly establishes lectures and tutorials in the proposed 1975 arrangement. It does not yet establish Archer's complete pedagogy, teaching method, supervision practices, students' experience, teaching effectiveness, educational outcomes, or a complete reconstruction of his role. These are bounded documentary limits, not archival absence.","Q02 demonstrates the repaired architecture: archive-first retrieval selects the relevant source family; deterministic extraction preserves exact documentary relations; Qwen provides a constrained interpretation; and live DDR GraphQL enrichment makes the citation, rights and location data inspectable in the UI.","Live production verification on 2026-09-07 after commits c93b93e, 2c7f067, 2ff47ea, 1edff39, d589862 and c0b571e. Direct evidence: chunk_66a2824c026302cf, page 2; final direct-claim provenance passed. The resolved Bruce Archer employment authority is supplied to Qwen as administrative context only. DDR GraphQL catalogue enrichment remains display/provenance only and is not supplied to Qwen."
3,Known relationship case 3,"What evidence connects Ken Baynes and Phil Roberts within the work of the Design Education Unit?","Whether the archive's parent DEU record can be retained as typed controlled metadata alongside, rather than replaced by, documentary text.","Live GraphQL record 014262507600 identifies a June 1978 Design Education Unit attached-media record (PID 287080879712) whose controlled keywords include both Ken Baynes and Phil Roberts. The corrected archive-first retrieval selected distinct DEU assets headed by Phil Roberts and Ken Baynes, plus one Design Dimension proposed-publications page that jointly credits them for 'Design as a medium for learning.'","The final answer is deterministic for this typed evidence shape. It identifies the shared controlled-keyword association, names the selected Roberts and Baynes DEU assets, and distinguishes the separate documentary joint credit. Qwen contributes no relationship inference.","The answer now uses the catalogue assertion that actually connects the pair, rather than treating three accidental co-mentions as the whole answer. It keeps the parent record/attachment association explicitly archival metadata and preserves the joint-credit page as one provenance-validated documentary claim.","A shared controlled keyword association is an archival description, not proof that the two people collaborated, co-authored material or shared responsibility. The selected asset titles identify archival records and do not make their contents direct evidence until their pages are read.","The evidence establishes a shared DEU archival association and one joint attribution. It does not establish collaboration, co-authorship, shared responsibility, either person's full DEU role, or DDR activity after the June 1985 closure boundary.","This case demonstrates why structured archival metadata must be a first-class, separately typed evidence layer. Excluding it makes a relationship question appear under-evidenced; treating it as documentary text would overstate it.","Validated in production after refreshing 24 DEU snapshot assets with inherited parent controlled keywords. Five sources include distinct Roberts and Baynes assets; one direct documentary claim has valid chunk/quotation provenance; no inferences. Deployments: 552eb0b, 5eb0cd2, 43e185e, ed6fbc3."
4,Known relationship case 4,"How is John Wood's role in console design and ergonomics documented across different DDR source types?","Cross-source retrieval and attribution restraint: whether the system retrieves complementary course and project records, and distinguishes attribution from a complete role account.","The corrected person-and-topic supplement selected two near-duplicate 1975 DDR course listings and a separate circa-1982 DDR brochure. The course listings name John Wood in the Ergonomics Course, assign '(JW)' to the introductory lecture on ergonomics, and assign '(JW)' to 'Ergonomics and the design of computer consoles for emergency services.' The brochure lists Wood with Douglas Tomkin for the 1973 Police command and control consoles project, DDR/146.","The final synthesis used the three deterministic documentary claims. It states that the course records assign Wood the ergonomics introduction and the emergency-services computer-console case study, while the brochure attributes him and Douglas Tomkin to the 1973 police-console project. It made no cross-source inference.","The generic single-person/topic supplement fixed a retrieval failure that previously selected calendars and an invitation but no console record. The evidence compiler now retains later material clauses in a passage and matches singular question terms to plural documentary forms, so the exact computer-console assignment and police-console attribution survive synthesis.","The two 1975 course records are substantively near-duplicates, not independent confirmation. The evidence supports course and project attributions, not an unqualified claim that Wood alone designed the consoles or a complete ergonomic role. The separate 1973 and 1975 records should not be collapsed into one continuous responsibility claim.","The selected records do not establish Wood's precise responsibilities, the division of work with Douglas Tomkin or other course contributors, the design outcome of the police consoles, or a complete chronology of his role. They cannot establish DDR activity after the June 1985 closure boundary.","This case validates source-type diversity and demonstrates that documentary extraction must preserve material text beyond an initial matching term. It also keeps related records distinct: a curriculum assigns teaching/case-study activity, while a brochure supplies a project attribution.","Validated in production: three deterministic_documentary_match claims, final chunk/quotation provenance valid with three checked references, no inferences. Retrieval and extraction safeguards deployed in 2bf8b33, 458defd, 2980af3, 68e63ff, e6546a4 and f4077fa; 40 focused production tests passed."
5,Contested interpretation case 1,"How was ""design research"" understood within the DDR, and to what extent do the surviving documents present a consistent conception of it?","False coherence: whether varied formulations are preserved as source-specific accounts rather than collapsed into one DDR definition.","The final live retrieval selected an Archer course outline defining research as systematic enquiry aimed at knowledge and describing Design Research as an emerging academic discipline; George Mallen's account of an emerging interdisciplinary discipline; an inter-university programme for teaching design methods and Design Research methods to managers, practitioners, teachers and supervisors; and a Job 171 passage placing design research among socio-economic, organisational, technical and human-factors questions.","Qwen's schema-invalid final stage activated the deterministic fallback. It made no cross-source inference: the final answer states only that the passages present several direct formulations, support a shared concern with systematic enquiry and methods, and do not establish a single DDR-wide definition or full consistency across the surviving corpus.","A quoted-concept documentary supplement now reserves distinct source documents for an explicitly named multi-word concept. The compiler treats that concept as a valid direct-evidence anchor even without a named person, retaining four exact quotations with valid final-synthesis provenance.","The documents share vocabulary around enquiry, discipline and methods, but this is not enough to demonstrate a settled institutional definition. The Mallen and inter-university passages broaden the field differently; neither difference is evidence of disagreement. One remaining ordinary slot was a second Job 171 passage, so documentary diversity is strong but not exhaustive.","The selected documents do not establish a single DDR-wide definition, complete conceptual history, or universal consistency across all surviving documents. They cannot establish DDR activity after the June 1985 closure boundary.","This is a successful contested-interpretation case: the system can expose multiple documentary formulations and resist false coherence without converting variation into contradiction. It establishes a general protocol requirement for concept questions: diversity must be evaluated at the document/formulation level, not merely by keyword match.","Production validated after deployment: 47 focused tests passed. Live Q5 returned four direct documentary claims with four checked provenance references and no unsupported inference. Core sources: Archer 'The designerly approach to knowledge' (p. 2); Mallen 'A scientific framework for understanding design' (p. 34); Inter-university institute of design research (p. 9); Job 171 (p. 33)."
6,Contested interpretation case 2,"How do different contributors describe the relationship between design, science and research?","Attribution and false disagreement: whether distinct Archer and institutional formulations are preserved without treating every source as an attributed contributor position or variation as conflict.","Live comparison retrieval selected two Bruce Archer collection documents, an RCA calendar from the RCA Prospectuses 1965-85 record, and two Job 171 technical passages. The Archer course outline calls Design a major and distinctive area of concern comparable with Science and the Humanities, and names the domain of Design Research. Archer's 'A view of the nature of design research' describes a designerly mode of enquiry as comparable with but distinct from scientific and scholarly modes. The calendar states that the Department pursued the theory and practice of design research through contract projects, advice and assistance, and instruction, including contract, academic and student research.","The final response is deterministic after final-stage schema fallback. It reports the two Archer formulations and the RCA calendar's institutional remit as related but not identical. It makes no cross-source inference and expressly says that the selected evidence does not establish each contributor's position, one shared institutional view or a settled disagreement.","The comparison supplement now retrieves explicit relationship formulations rather than treating incidental mentions such as Science Research Council funding as concept evidence. Archive-record diversity ensures the Archer collection and RCA Prospectuses are both represented. Five direct claims passed final-synthesis quotation and chunk provenance validation.","The first two direct formulations are Archer collection material, while the calendar is departmental/institutional language; neither source type alone establishes the views of every contributor. The two retained Job 171 passages document technical and funding context but do not independently define the relationship among design, science and research. OCR in the 'A view' extract is imperfect, so its preserved wording should be read against the source image.","The selected evidence does not establish a complete map of individual contributors' positions, a single DDR-wide definition, agreement, disagreement, or a complete conceptual history. It cannot establish DDR activity after the June 1985 closure boundary.","This confirms that a rigorous interpretation question needs named conceptual relation passages and archive-family diversity, not just co-occurrence of terms. The case distinguishes author-attributed formulation, institutional remit and technical context while retaining uncertainty about broader consensus.","Production validation: 52 focused tests passed. Final live Q6 returned five direct documentary claims with five checked final-synthesis references and no inferences. Core evidence: Archer course outline 'The designerly approach to knowledge' (p. 1); Archer, 'A view of the nature of design research' (p. 3, OCR); RCA calendar (p. 50) from RCA Prospectuses PID 880612075513."
7,Contested interpretation case 3,"How do contemporary DDR documents and later retrospective accounts differ in their descriptions of the Design Education Unit?","Temporal provenance and source-form distinction: whether contemporary institutional records and a later oral history remain separate, and whether retrospective testimony is prevented from implying post-closure DDR activity.","The live temporal-comparison route selected a pre-June-1985 Rector's report (PID 788065484899), a 1984 RCA prospectus (PID 880612075513), Ken Baynes's 1984 DEU appointments letter and redevelopment proposal (PID 014262507600), and Christopher Frayling's June 2013 oral-history interview (PID 113304873833).","The final response is deterministic for this temporal evidence shape. It makes no cross-source inference and describes the Frayling account as later testimony rather than an institutional fact.","The retrieval now reserves distinct contemporary report, prospectus, correspondence and proposal sources plus the later Frayling interview. Seven direct documentary references passed final-synthesis quotation and chunk provenance validation.","The prospectus passage is principally a unit heading in the selected extraction, and Frayling's retrospective characterisation cannot by itself establish the Unit's institutional origin, named contributors' roles or any factual relationship to the DDR.","The selected records do not establish a complete institutional history of the DEU, resolve retrospective claims against contemporary documentation, or establish DDR activity after its June 1985 closure.","This confirms that time and source form must be explicit retrieval and synthesis controls. A language model alone flattened the distinction; source-family reservation, metadata-derived temporal status and deterministic synthesis retain it.","Production response selected the requested source families, returned no inferences, and reported valid final-synthesis provenance with seven checked references."
8,Contested interpretation case 4,"What competing interpretations of systematic design process can be identified in the corpus?","False disagreement and unquoted-concept retrieval: whether distinct formulations of a research concept are retrieved as direct text without requiring a named person or quoted phrase, and whether difference is overstated as a dispute.","Live retrieval selected a Mallen and Goumain DDR introductory-course passage on cognitive limits that rule out exhaustive systematic search; a Design Dimension paper (DEU record PID 014262507600) identifying professional practice, design-education projects and 1960s systematic-methods problem solving as three sources of school design process; and Bruce Archer's 'Systematic method for designers' reprint (PID 873981573030) describing objective/systematic analysis around a necessary creative act.","The final response is deterministic for the unquoted interpretation shape. It makes no cross-source inference and calls the documents different formulations rather than a documented dispute.","A generic parser for questions phrased as 'interpretations of ...' now treats the three concept terms as a direct-evidence anchor. The retrieval supplement requires every term in a passage and selects distinct archive-record families. Three final direct claims passed quotation and chunk provenance validation.","The evidence includes different conceptual emphases, but does not identify each writer's full position, establish direct debate between them, or demonstrate competing schools of thought. The introductory-course cognitive account should not be attributed to Archer without an explicit passage-level attribution.","The selected corpus does not establish a settled dispute, universal rejection of systematic methods, a single DDR-wide definition of design process, or a complete conceptual history. It cannot establish DDR activity after the June 1985 closure boundary.","This case shows that concept questions need typed lexical anchors and cross-record diversity controls. Otherwise relevant direct passages are silently discarded or the model turns variation in source purpose into historical conflict.","Production live response: no inferences; three provenance-validated final direct references; selected DEU, DDR introductory-course and Archer collection records."
9,Scoped missingness case 1,"Does the current digitised corpus establish why the decision to close the DDR was made?","Scoped missingness and temporal-conflict restraint: whether a closure statement and a later retrospective account can be distinguished from direct evidence of the decision's rationale, and whether a conflicting projected date is prevented from overriding the closure boundary.","The corrected route selected the December 1985 Rector's report (asset PID 208660726919; Rector's Reports record PID 788065484899), which records Archer's appointment, Langdon's computing-resources role, and a projected August 1986 closure. It also selected Christopher Frayling's June 2013 oral-history interview (asset PID 213911167511; oral-histories record PID 113304873833), which says Steiny 'really went for design research' and speculates that Jocelyn may have inherited an earlier hostile view.","The final response is deterministic for this scoped-missingness shape. It makes no inference: it treats the report as a closure statement without rationale and Frayling as qualified retrospective testimony, explicitly calling it a possible interpretation rather than a decision record.","The scoped-missingness route now reserves the closest contemporary closure trace and a relevant later oral-history account instead of returning unrelated curriculum/vitae passages. Two final direct references passed quotation and chunk provenance validation.","The report supplies a projected closure statement, not a decision record. Frayling's language is retrospective and tentative ('may' and 'That's possible'), so it cannot establish institutional motive or causation. The report's August 1986 wording also conflicts with the benchmark's enforced June 1985 closure boundary.","The digitised corpus does not establish who made the decision, why it was made, a policy or funding rationale, a minute or other decision record, or a contemporaneous explanation. The selected evidence cannot establish DDR activity after June 1985.","This negative-evidence control now tests a more realistic archival condition: a corpus may contain a later, plausible explanation without containing a contemporaneous decision record. The system must preserve that distinction and avoid silently weakening a declared collection chronology.","Production live response: Rector's report plus Frayling interview; no inferences; two provenance-validated direct references; retrospective attribution and closure-boundary restraint."
10,Scoped missingness case 2,"Can the current digitised corpus establish who initiated computing activity within the DDR?","Institutional adoption versus individual initiation: whether a contemporaneous account of CAD-centre provision and a relevant oral-history account remain distinct from conclusive proof that one person initiated all DDR computing.","The corrected live route selected a December 1972 Rector's report (asset PID 145078071369; Rector's Reports record PID 788065484899) and George Mallen's February 2013 oral-history interview (asset PID 979324909270; oral-histories record PID 113304873833). The report records the DTI arrangement for the London CAD Centre sub-centre and DDR's major-user status. Mallen says that, 'as far as I know,' computing began through an SRC-funded project and that it was 'almost entirely Patrick Purcell's initiative.'","The deterministic final response made no cross-source inference. It treats Mallen's statement as his qualified retrospective attribution to Purcell and says that the corpus does not establish a single initiator with contemporaneous certainty.","The corrected scoped-missingness route reserves the closest contemporary institutional-computing trace and the oral history that directly addresses origins, rather than relying on curriculum fragments or a tangential sponsorship recollection. Two final direct documentary references passed quotation and chunk provenance validation.","The Rector's report identifies an institutional arrangement and user status, not the person who proposed, approved, acquired or first operated computing resources. Mallen's account is retrospective and qualified by 'as far as I know'; it directly establishes his attribution to Purcell, but not a contemporaneous decision record or conclusive proof that Purcell alone initiated all DDR computing.","The digitised corpus does not establish a unique initiator with contemporaneous certainty, the precise decision or acquisition process, a complete first-computing chronology, or a person-specific causal account beyond Mallen's attributed testimony. It cannot establish DDR activity after the enforced June 1985 closure boundary.","This demonstrates that qualitative oral history can contain the most direct account of an origin question. Retrieval must inspect relevant interview transcripts as a distinct source family, then preserve speaker, temporal position, uncertainty and claim scope rather than flattening testimony into institutional fact.","Production response selected the Rector's report and Mallen interview, returned no inferences, and reported valid final-synthesis provenance with two checked references."
