Type,Core research question,Primary stress test,What retrieval surfaced,What Qwen inferred,What was useful,What was overstated/flattened,Missingness,Research significance
Known relationship case 1,"What documentary traces connect Job 171, “Designer-computer interaction in the early stages of design”, to the people, activities and outputs associated with it?",Project identity across records,"Exact Job 171 reports 171/05 and 171/06; interface-design and human-factors passages.","Qwen associated SIME with ergonomics and interface design, but marked specific people, outputs, and the requested connection not established.","V3.16 supplies exact Job 171 documentary grounding where Qwen offered only a broad SIME/interface inference.","Qwen's SIME inference flattens the distinction between technical context and the requested people/activity/output reconstruction.",People and outputs require source-by-source review.,Demonstrates controlled project identity without title/ID conjunction.
Known relationship case 2,"How is Bruce Archer’s role in teaching and learning practice with students represented across multiple DDR documents, and what aspects of that role are directly evidenced rather than inferred?",Direct practice versus context,"Rector's report, yearbooks, prospectus, and curriculum outline; students and teaching/learning passages.","Qwen inferred Archer's involvement in academic discussions on design education while marking his teaching-and-learning practice with students not established.","V3.16 separates named Archer material from yearbook/prospectus teaching context, making Qwen's limited inference inspectable.","Qwen's academic-discussion inference does not establish Archer's direct teaching practice with students.",Named Archer practice remains unevenly distributed.,Supports evidence-bounded reconstruction of a role.
Known relationship case 3,"What evidence connects Ken Baynes and Phil Roberts within the work of the Design Education Unit?",Dispersed relationship evidence,"DEU-controlled sources, including Rector's report and Design Dimension project publications; same-passage co-naming where present.","Qwen classified some sources as direct support but produced no validated cross-source inference and no direct documentary claim.","V3.16 typed both people and the unit, retaining direct and same-passage evidence that Qwen left unsynthesised.","Qwen's source-level direct-support labels cannot establish collaboration or the relationship by themselves.",Connection may remain distributed across records.,Prevents authority typing errors from becoming historical claims.
Known relationship case 4,"How is John Wood’s role in console design and ergonomics documented across different DDR source types?",Cross-source technical role,"Ergonomics seating-trial passage naming John Wood, project personnel list, and retrospective context.","Qwen returned no validated cross-source inference and marked Wood's console/ergonomics role not established.","V3.16 retains a direct ergonomics passage naming Wood, clarifying what Qwen's non-establishment result did and did not cover.","Qwen's non-establishment outcome flattens direct ergonomics evidence and the separate, weaker console relation.",Console relation is distributed rather than one complete passage.,Shows why source-type comparison matters.
Contested interpretation case 1,"How was “design research” understood within the DDR, and to what extent do the surviving documents present a consistent conception of it?",False coherence,"Mallen framework, Frayling interview, project report, institutional memo, and Rector's report.","Qwen V2 Stage A ran; schema validation failed, so no valid Stage B/C final synthesis exists.","V3.16 preserves multiple formulations for researcher comparison without substituting an invalid Qwen synthesis.","No model conclusion can be treated as a Qwen finding because the final synthesis was invalid.",Corpus does not establish a unified definition.,Preserves disagreement as an evidential result.
Contested interpretation case 2,"How do different contributors describe the relationship between design, science and research?",Distinct contributor positions,"Mallen design-research discussion, Roberts notes, Frayling interview, and project reports.","Qwen inferred discussion through interface/data handling, MDS constructs, project analysis, and measurement, while marking specific relationship descriptions not established.","V3.16 supplies contributor-specific passages against which Qwen's four broad thematic inferences can be checked.","Qwen groups heterogeneous examples into a relationship narrative without direct contributor-specific descriptions.",Attribution and comparability vary by document.,Supports comparative reading rather than consensus.
Contested interpretation case 3,"How do contemporary DDR documents and later retrospective accounts differ in their descriptions of the Design Education Unit?",Period/source-type separation,"Contemporary teaching/project/institutional sources and George Mallen retrospective interview are both retained.","Qwen inferred that retrospective accounts criticised DEU management and coherence while contemporary description was limited; it marked the comparison not established.","V3.16 retains contemporary and retrospective evidence separately, permitting scrutiny of Qwen's period contrast.","Qwen's retrospective-critique contrast is a cross-source inference, not a direct description of the DEU in each source class.",Chronology and source purpose still require researcher assessment.,Makes temporal disagreement inspectable.
Contested interpretation case 4,"What competing interpretations of systematic design process can be identified in the corpus?",Difference without manufactured debate,"Systematic method reprint, design analysis reports, Finland process text, and institute discussion.","Qwen inferred competing interpretations between Bruce and Christopher Jones while marking specific systematic-process claims not established.","V3.16 retains several process formulations and genres for testing Qwen's suggested contrast.","Qwen's named opposition exceeds what its validated evidence map established as direct documentary support.",Strength of direct disagreement is limited.,Supports cautious comparison of formulations.
Scoped missingness case 1,"Does the current digitised corpus establish why the decision to close the DDR was made?",Causal restraint,"Contemporary DDR future memo records Senate closure decision; retrospective Finkelstein interview remains separately retained.","Qwen marked why the closure decision was made not established and produced no validated causal inference.","V3.16 supplies the Senate decision record and separately retained retrospective interpretation, preserving the distinction Qwen lacked.","Qwen's non-establishment result must not erase direct evidence that a closure decision occurred.",Corpus may not establish why the decision was made.,Demonstrates evidence-class-aware missingness.
Scoped missingness case 2,"Can the current digitised corpus establish who initiated computing activity within the DDR?",Origin claim restraint,"COMDAC report, DEU computer discussion papers, Reffin Smith interview, and Job 171 material.","Qwen marked the initiator of DDR computing activity not established and produced no validated initiation inference.","V3.16 retrieves several computing traces while retaining Qwen's appropriate restraint about initiation.","Neither Qwen's non-establishment result nor an early computing trace identifies an initiator.",No documentary initiator is established.,Separates activity evidence from origin claims.
