Question,Type,Core research question,Primary stress test,What retrieval surfaced,What Qwen inferred,What was useful,What was overstated/flattened,Missingness,Research significance,Notes
1,Known relationship case 1,"What documentary traces connect Job 171, ""Designer-computer interaction in the early stages of design"", to the people, activities and outputs associated with it?",Project identity across records,"Exact Job 171 reports 171/05 and 171/06; interface-design and human-factors passages.","Qwen associated SIME with ergonomics and interface design, but marked specific people, outputs, and the requested connection not established.","The exact Job 171 records make Qwen's broad SIME/interface inference inspectable.","Qwen's SIME inference flattens technical context and the requested people/activity/output reconstruction.",People and outputs require source-by-source review.,Demonstrates controlled project identity without title/ID conjunction.,Formal Qwen V2 run experiment-fb543dbc7ac8; completed; provenance PASS.
2,Known relationship case 2,"How is Bruce Archer’s role in teaching and learning practice with students represented across multiple DDR documents, and what aspects of that role are directly evidenced rather than inferred?",Direct practice versus context,"Rector's report, yearbooks, prospectus, and curriculum outline; students and teaching/learning passages.","Qwen inferred Archer's involvement in academic discussions on design education while marking his teaching-and-learning practice with students not established.","Named Archer material can be separated from yearbook/prospectus teaching context.","Qwen's academic-discussion inference does not establish Archer's direct teaching practice with students.",Named Archer practice remains unevenly distributed.,Supports evidence-bounded reconstruction of a role.,Formal Qwen V2 run experiment-16d8d12ce470; completed; provenance PASS.
3,Known relationship case 3,What evidence connects Ken Baynes and Phil Roberts within the work of the Design Education Unit?,Dispersed relationship evidence,"DEU-controlled sources, including Rector's report and Design Dimension project publications; same-passage co-naming where present.","Qwen classified some sources as direct support but produced no validated cross-source inference and no direct documentary claim.","Both people and the unit remain available for source-by-source comparison.","Source-level direct-support labels cannot establish collaboration or the relationship by themselves.",Connection may remain distributed across records.,Prevents authority typing errors from becoming historical claims.,Formal Qwen V2 run experiment-fed769671c54; completed; provenance PASS.
4,Known relationship case 4,How is John Wood’s role in console design and ergonomics documented across different DDR source types?,Cross-source technical role,"Ergonomics seating-trial passage naming John Wood, project personnel list, and retrospective context.","Qwen returned no validated cross-source inference and marked Wood's console/ergonomics role not established.","The direct ergonomics passage clarifies what Qwen's non-establishment result did and did not cover.","Qwen's non-establishment outcome flattens direct ergonomics evidence and the separate, weaker console relation.",Console relation is distributed rather than one complete passage.,Shows why source-type comparison matters.,Formal Qwen V2 run experiment-6e4c0807fac5; completed; provenance PASS; v2.3 diagnostic selected for researcher screenshot.
5,Contested interpretation case 1,"How was ""design research"" understood within the DDR, and to what extent do the surviving documents present a consistent conception of it?",False coherence,"Mallen framework, Frayling interview, project report, institutional memo, and Rector's report.","Qwen V2 Stage A ran; schema validation failed, so no valid Stage B/C final synthesis exists.","Multiple formulations remain available for researcher comparison without an invented model conclusion.","No model conclusion can be treated as a Qwen finding because the final synthesis was invalid.",Corpus does not establish a unified definition.,Preserves disagreement as an evidential result.,Formal Qwen V2 run experiment-05a51f1d8f77; failed at Stage A; no final finding.
6,Contested interpretation case 2,"How do different contributors describe the relationship between design, science and research?",Distinct contributor positions,"Mallen design-research discussion, Roberts notes, Frayling interview, and project reports.","Qwen inferred discussion through interface/data handling, MDS constructs, project analysis, and measurement, while marking specific relationship descriptions not established.","Contributor-specific passages permit checking of Qwen's broad thematic inferences.","Qwen groups heterogeneous examples into a relationship narrative without direct contributor-specific descriptions.",Attribution and comparability vary by document.,Supports comparative reading rather than consensus.,Formal Qwen V2 run experiment-f341b963a824; completed; provenance PASS.
7,Contested interpretation case 3,How do contemporary DDR documents and later retrospective accounts differ in their descriptions of the Design Education Unit?,Period/source-type separation,"Contemporary teaching/project/institutional sources and a George Mallen retrospective interview.","Qwen inferred that retrospective accounts criticised DEU management and coherence while contemporary description was limited; it marked the comparison not established.","Contemporary and retrospective evidence can be read separately against Qwen's period contrast.","Qwen's retrospective-critique contrast is a cross-source inference, not a direct description of the DEU in each source class.",Chronology and source purpose still require researcher assessment.,Makes temporal disagreement inspectable.,Formal Qwen V2 run experiment-11cc2802612a; completed; provenance PASS; v2.3 diagnostic selected for researcher screenshot.
8,Contested interpretation case 4,What competing interpretations of systematic design process can be identified in the corpus?,Difference without manufactured debate,"Systematic method reprint, design analysis reports, Finland process text, and institute discussion.","Qwen inferred competing interpretations between Bruce and Christopher Jones while marking specific systematic-process claims not established.","Several process formulations and genres remain available for testing Qwen's suggested contrast.","Qwen's named opposition exceeds what its validated evidence map established as direct documentary support.",Strength of direct disagreement is limited.,Supports cautious comparison of formulations.,Formal Qwen V2 run experiment-1c9b57655ecb; completed; provenance PASS.
9,Scoped missingness case 1,Does the current digitised corpus establish why the decision to close the DDR was made?,Causal restraint,"Contemporary DDR future memo records Senate closure decision; retrospective Finkelstein interview remains separately retained.","Qwen marked why the closure decision was made not established and produced no validated causal inference.","The decision record and retrospective interpretation can be distinguished from the cause question.","Qwen's non-establishment result must not erase direct evidence that a closure decision occurred.",Corpus may not establish why the decision was made.,Demonstrates evidence-class-aware missingness.,Formal Qwen V2 run experiment-3dfff4358307; completed; provenance PASS.
10,Scoped missingness case 2,Can the current digitised corpus establish who initiated computing activity within the DDR?,Origin claim restraint,"COMDAC report, DEU computer discussion papers, Reffin Smith interview, and Job 171 material.","Qwen marked the initiator of DDR computing activity not established and produced no validated initiation inference.","Several computing traces remain visible while initiation stays bounded.","Neither Qwen's non-establishment result nor an early computing trace identifies an initiator.",No documentary initiator is established.,Separates activity evidence from origin claims.,Formal Qwen V2 run experiment-78b0815e3caa; completed; provenance PASS.
